clientbankpartner_pin,partnerrolestart_date,day_0,day_1,day_2,day_3,day_4,day_5,day_6,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,partnerrolestart_date_year,partnerrolestart_date_month,partnerrolestart_date_day,partnerrolestart_date_dayofweek,clients_count,days_after_partnership,active_months,last_active_month_ago,avg_clients_monthly,median_clients_monthly,std_clients_monthly,var_clients_monthly,max_clients_monthly,max_zero_month,is_any_1_month,is_any_2_month,is_any_3_month,last_month_to_avg,last_month_to_all,avg_clients_count_per_ccode,0_oh,1_oh,2_oh,3_oh,4_oh,5_oh,2-1,3-2,4-3,5-4,6-5,7-6,8-7,9-8,10-9,11-10,12-11,13-12,14-13,15-14,16-15,17-16,18-17,max_diff,min_diff,avg_weekdays,median_weekdays,std_weekdays,var_weekdays,weekday2weekends,weekday2all,weekends2all,active_in_weekends,target
236905,2020-03-01,6.0,3.0,2.0,4.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,1,7,2020,3,1,6,17,153,5,1,2.5,2.5,1.118033988749895,1.25,4,0,1,1,1,2.8,0.4117647058823529,13.197445334487984,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,-1,-1,6,6,-1,2.4285714285714284,2.0,1.9166296949998196,3.6734693877551012,7.5,0.8823529411764706,0.11764705882352941,1,0
125779,2019-12-01,0.0,4.0,0.0,3.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,0,2,0,0,2019,12,1,6,8,244,4,3,1.0,0.5,1.1547005383792515,1.3333333333333333,3,2,0,0,1,0.0,0.0,13.197445334487984,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-1,2,1,-3,0,2,-2,0,2,-3,1.1428571428571428,0.0,1.5518257844571737,2.4081632653061225,7.0,0.875,0.125,1,0
218269,2019-12-01,27.0,33.0,20.0,48.0,14.0,35.0,24.0,0,0,0,0,0,0,0,0,0,15,19,30,20,23,25,25,29,15,2019,12,1,6,201,244,9,1,23.25,24.0,4.763139720814412,22.6875,30,0,1,1,1,0.6451612903225806,0.07462686567164178,13.197445334487984,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,4,11,-10,3,2,0,4,-14,15,-14,28.714285714285715,27.0,10.333223611442929,106.77551020408164,2.406779661016949,0.7064676616915423,0.2935323383084577,1,0
206319,2019-11-01,4.0,34.0,4.0,36.0,33.0,41.0,35.0,0,0,0,0,0,0,0,0,5,20,76,81,5,0,0,0,0,0,2019,11,1,4,187,274,5,6,45.5,48.0,33.47013594235912,1120.25,81,0,0,0,0,0.0,0.0,13.197445334487984,0,0,0,0,1,0,0,0,0,0,0,0,0,5,15,56,5,-76,-5,0,0,0,0,56,-76,26.714285714285715,34.0,14.557416231836568,211.91836734693877,1.4605263157894737,0.5935828877005348,0.40641711229946526,1,1
4094,2019-04-01,20.0,28.0,17.0,22.0,17.0,16.0,13.0,0,2,12,19,12,12,9,13,10,8,7,8,8,7,1,2,2,1,2019,4,1,0,133,488,17,1,8.25,8.0,4.723610906922796,22.3125,19,0,1,1,1,0.12121212121212122,0.007518796992481203,9.216780238500851,0,0,0,0,0,1,2,10,7,-7,0,-3,4,-3,-2,-1,1,0,-1,-6,1,0,-1,10,-7,19.0,17.0,4.535573676110727,20.571428571428573,3.586206896551724,0.7819548872180451,0.21804511278195488,1,0
230035,2019-12-01,4.0,0.0,1.0,4.0,0.0,2.0,1.0,0,0,0,0,0,0,0,0,0,1,2,2,0,2,3,0,2,0,2019,12,1,6,12,244,6,2,1.4285714285714286,2.0,1.0497813183356477,1.1020408163265305,3,1,0,1,0,0.0,0.0,13.197445334487984,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,-2,2,1,-3,2,-2,2,-3,1.7142857142857142,1.0,1.577908716741037,2.4897959183673466,3.0,0.75,0.25,1,0
181596,2019-09-01,0.0,4.0,2.0,3.0,4.0,6.0,2.0,0,0,0,0,0,0,0,0,1,1,6,8,2,2,1,0,0,0,2019,9,1,6,21,335,7,4,3.3333333333333335,2.0,2.6874192494328497,7.222222222222221,8,0,0,0,0,0.0,0.0,13.197445334487984,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,5,2,-6,0,-1,-1,0,0,5,-6,3.0,3.0,1.7728105208558367,3.142857142857143,1.625,0.6190476190476191,0.38095238095238093,1,1
130756,2019-03-01,81.0,139.0,49.0,150.0,60.0,137.0,72.0,0,3,13,20,14,12,3,19,18,37,109,100,75,62,71,68,30,34,2019,3,1,4,688,519,17,1,40.875,25.0,33.69323930701825,1135.234375,109,0,1,1,1,0.8318042813455657,0.04941860465116279,22.39424141749723,0,1,0,0,0,0,3,10,7,-6,-2,-9,16,-1,19,72,-9,-25,-13,9,-3,-38,4,72,-38,98.28571428571429,81.0,39.12512632828272,1530.7755102040817,2.291866028708134,0.6962209302325582,0.30377906976744184,1,0
125333,2019-04-01,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2019,4,1,0,4,488,2,11,0.16666666666666666,0.0,0.372677996249965,0.13888888888888892,1,5,0,0,0,0.0,0.0,22.39424141749723,0,1,0,0,0,0,1,-1,0,0,0,0,3,-3,0,0,0,0,0,0,0,0,0,3,-3,0.5714285714285714,0.0,0.7284313590846836,0.5306122448979592,1.0,0.5,0.5,1,1
136412,2019-04-01,21.0,20.0,17.0,35.0,20.0,29.0,9.0,0,0,7,8,6,8,15,19,20,9,1,0,0,3,19,14,7,15,2019,4,1,0,151,488,14,1,9.066666666666666,8.0,6.647973793236218,44.19555555555555,20,2,1,1,1,1.6544117647058825,0.09933774834437085,22.39424141749723,0,1,0,0,0,0,0,7,1,-2,2,7,4,1,-11,-8,-1,0,3,16,-5,-7,8,16,-11,21.571428571428573,20.0,7.743331561638659,59.95918367346939,2.973684210526316,0.7483443708609272,0.25165562913907286,1,0
7082,2019-12-01,14.0,21.0,11.0,28.0,10.0,14.0,13.0,0,0,0,0,0,0,0,0,0,4,10,15,14,12,20,21,9,6,2019,12,1,6,111,244,9,1,13.125,13.0,5.301827515112124,28.109375,21,0,1,1,1,0.45714285714285713,0.05405405405405406,13.197445334487984,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,6,5,-1,-2,8,1,-12,-3,8,-12,15.857142857142858,14.0,5.938459911664722,35.26530612244898,3.111111111111111,0.7567567567567568,0.24324324324324326,1,0
11520,2019-04-01,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,2019,4,1,0,5,488,5,7,0.4,0.0,0.48989794855663565,0.24000000000000005,1,2,0,0,0,0.0,0.0,13.197445334487984,0,0,0,0,1,0,1,-1,0,1,-1,1,-1,0,1,-1,1,-1,0,0,0,0,0,1,-1,0.7142857142857143,1.0,0.6998542122237652,0.4897959183673469,1.5,0.6,0.4,1,1
4956,2020-04-01,12.0,20.0,0.0,7.0,1.0,9.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,7,13,16,2020,4,1,2,52,122,5,1,9.0,8.0,2.449489742783178,6.0,13,0,1,1,1,1.7777777777777777,0.3076923076923077,9.216780238500851,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,-2,0,6,3,9,-2,7.428571428571429,7.0,6.5215498345790435,42.53061224489795,3.3333333333333335,0.7692307692307693,0.23076923076923078,1,0
10050,2019-05-01,4.0,5.0,2.0,0.0,0.0,2.0,0.0,0,0,1,1,1,2,2,0,2,0,0,0,0,2,0,2,0,0,2019,5,1,2,13,458,8,3,0.8461538461538461,1.0,0.8634593969478326,0.7455621301775147,2,4,0,0,1,0.0,0.0,13.197445334487984,0,0,0,0,1,0,0,1,0,0,1,0,-2,2,-2,0,0,0,2,-2,2,-2,0,2,-2,1.8571428571428572,2.0,1.8844151368961313,3.5510204081632653,5.5,0.8461538461538461,0.15384615384615385,1,0
9379,2019-03-01,4.0,1.0,2.0,3.0,2.0,0.0,1.0,2,0,3,0,0,0,0,0,0,0,0,1,0,2,1,1,1,2,2019,3,1,4,13,519,8,1,0.6470588235294118,0.0,0.903664205631601,0.8166089965397925,3,8,1,1,1,3.090909090909091,0.15384615384615385,13.197445334487984,0,0,0,0,1,0,-2,3,-3,0,0,0,0,0,0,0,1,-1,2,-1,0,0,1,3,-3,1.8571428571428572,2.0,1.2453996981544782,1.551020408163265,12.0,0.9230769230769231,0.07692307692307693,1,0
117743,2019-05-01,1.0,2.0,2.0,2.0,1.0,0.0,1.0,0,0,1,1,1,0,1,0,0,1,1,0,1,0,1,1,0,0,2019,5,1,2,9,458,9,3,0.6153846153846154,1.0,0.48650425541051995,0.23668639053254442,1,2,0,0,1,0.0,0.0,22.39424141749723,0,1,0,0,0,0,0,1,0,0,-1,1,-1,0,1,0,-1,1,-1,1,0,-1,0,1,-1,1.2857142857142858,1.0,0.6998542122237652,0.489795918367347,8.0,0.8888888888888888,0.1111111111111111,1,0
242032,2020-02-01,20.0,21.0,11.0,11.0,0.0,11.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,21,18,16,9,2020,2,1,5,84,182,5,1,18.75,19.0,1.920286436967152,3.6875,21,0,1,1,1,0.48,0.10714285714285714,13.197445334487984,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,-3,-2,-7,20,-7,12.0,11.0,6.502746672423452,42.285714285714285,3.0,0.75,0.25,1,0
4272,2019-10-01,6.0,15.0,10.0,11.0,8.0,17.0,14.0,0,0,0,0,0,0,0,1,6,12,13,9,5,3,15,3,8,6,2019,10,1,1,81,305,11,1,7.5,7.0,4.4777226354476225,20.05,15,0,1,1,1,0.8,0.07407407407407407,9.216780238500851,0,0,0,0,0,1,0,0,0,0,0,0,1,5,6,1,-4,-4,-2,12,-12,5,-2,12,-12,11.571428571428571,11.0,3.6589281356759136,13.387755102040815,1.6129032258064515,0.6172839506172839,0.38271604938271603,1,0
9231,2020-02-01,14.0,11.0,5.0,10.0,0.0,11.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,12,9,8,7,2020,2,1,5,55,182,6,1,9.6,9.0,1.3564659966250536,1.8399999999999999,12,0,1,1,1,0.7291666666666667,0.12727272727272726,13.197445334487984,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,3,-3,-1,-1,10,-3,7.857142857142857,10.0,4.580348440537542,20.979591836734695,2.6666666666666665,0.7272727272727273,0.2727272727272727,1,1
172786,2019-08-01,8.0,30.0,5.0,31.0,18.0,24.0,30.0,0,0,0,0,0,7,20,16,19,15,10,22,12,7,11,6,1,0,2019,8,1,3,146,366,12,2,13.181818181818182,12.0,5.339700056577605,28.512396694214882,22,0,0,1,1,0.0,0.0,13.197445334487984,0,0,0,0,1,0,0,0,0,0,7,13,-4,3,-4,-5,12,-10,-5,4,-5,-5,-1,13,-10,20.857142857142858,24.0,10.034633902191969,100.6938775510204,1.7037037037037037,0.6301369863013698,0.3698630136986301,1,1
213854,2019-12-01,1.0,2.0,1.0,0.0,1.0,2.0,0.0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,2,2019,12,1,6,7,244,6,1,0.625,1.0,0.4841229182759271,0.234375,1,1,1,0,1,3.2,0.2857142857142857,13.197445334487984,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-1,1,0,-1,1,0,-1,2,2,-1,1.0,1.0,0.7559289460184544,0.5714285714285714,2.5,0.7142857142857143,0.2857142857142857,1,0
3206,2019-04-01,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2019,4,1,0,3,488,3,13,0.5,0.5,0.5,0.25,1,1,0,0,0,0.0,0.0,9.216780238500851,0,0,0,0,0,1,1,-1,1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,1,-1,0.42857142857142855,0.0,0.7284313590846835,0.5306122448979591,0.0,1.0,0.0,0,1
229262,2020-01-01,11.0,11.0,5.0,19.0,3.0,6.0,1.0,0,0,0,0,0,0,0,0,0,0,0,4,8,4,14,17,6,3,2020,1,1,2,56,213,7,1,8.833333333333334,7.0,4.9805175991613115,24.805555555555554,17,0,1,1,1,0.33962264150943394,0.05357142857142857,13.197445334487984,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,4,-4,10,3,-11,-3,10,-11,8.0,6.0,5.68205194324324,32.285714285714285,7.0,0.875,0.125,1,0
162089,2019-11-01,47.0,64.0,24.0,65.0,20.0,54.0,41.0,0,0,0,0,0,0,0,0,0,28,28,74,59,61,63,2,0,0,2019,11,1,4,315,274,7,3,52.166666666666664,60.0,17.733364661626464,314.47222222222223,74,0,0,0,1,0.0,0.0,13.197445334487984,0,0,0,0,1,0,0,0,0,0,0,0,0,0,28,0,46,-15,2,2,-61,-2,0,46,-61,45.0,47.0,16.596040835951552,275.42857142857144,2.3157894736842106,0.6984126984126984,0.30158730158730157,1,1
937,2020-02-01,2.0,2.0,3.0,5.0,0.0,3.0,3.0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,5,1,1,3,2020,2,1,5,18,182,7,1,2.5,2.0,1.5,2.25,5,0,1,1,1,1.2,0.16666666666666666,9.216780238500851,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,-2,0,3,-4,0,2,4,-4,2.5714285714285716,3.0,1.3997084244475304,1.9591836734693877,2.0,0.6666666666666666,0.3333333333333333,1,0
875,2019-05-01,1.0,5.0,2.0,1.0,1.0,4.0,3.0,0,0,0,1,2,3,2,1,1,1,1,0,1,1,0,0,1,2,2019,5,1,2,17,458,12,1,1.0714285714285714,1.0,0.7985957062499249,0.6377551020408163,3,2,1,1,0,1.8666666666666667,0.11764705882352941,9.216780238500851,0,0,0,0,0,1,0,0,1,1,1,-1,-1,0,0,0,-1,1,0,-1,0,1,1,1,-1,2.4285714285714284,2.0,1.498298354528788,2.2448979591836737,1.4285714285714286,0.5882352941176471,0.4117647058823529,1,0
4486,2019-09-01,1.0,0.0,0.0,4.0,0.0,1.0,1.0,0,0,0,0,0,0,1,0,3,1,1,0,0,0,0,1,0,0,2019,9,1,6,7,335,5,3,0.6666666666666666,0.0,0.9428090415820634,0.8888888888888888,3,4,0,0,1,0.0,0.0,9.216780238500851,0,0,0,0,0,1,0,0,0,0,0,1,-1,3,-2,0,-1,0,0,0,1,-1,0,3,-2,1.0,1.0,1.3093073414159542,1.7142857142857142,2.5,0.7142857142857143,0.2857142857142857,1,0
185093,2020-03-01,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2020,3,1,6,4,153,2,1,1.5,1.5,1.5,2.25,3,1,1,0,1,0.6666666666666666,0.25,13.197445334487984,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-3,1,3,-3,0.5714285714285714,0.0,1.049781318335648,1.102040816326531,0.0,1.0,0.0,0,0
4661,2019-11-01,14.0,15.0,10.0,13.0,3.0,8.0,2.0,0,0,0,0,0,0,0,0,0,3,3,1,5,4,16,11,9,13,2019,11,1,4,65,274,9,1,6.5,4.5,4.743416490252569,22.5,16,0,1,1,1,2.0,0.2,9.216780238500851,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,-2,4,-1,12,-5,-2,4,12,-5,9.285714285714286,10.0,4.831867007225076,23.346938775510207,5.5,0.8461538461538461,0.15384615384615385,1,0
2902,2019-02-01,12.0,7.0,5.0,15.0,8.0,4.0,3.0,4,11,5,2,4,7,1,2,2,4,3,3,2,3,1,0,0,0,2019,2,1,4,54,547,15,4,3.7857142857142856,3.0,2.483619807244816,6.168367346938775,11,0,0,0,0,0.0,0.0,9.216780238500851,0,0,0,0,0,1,7,-6,-3,2,3,-6,1,0,2,-1,0,-1,1,-2,-1,0,0,7,-6,7.714285714285714,7.0,4.060762972443398,16.489795918367346,6.714285714285714,0.8703703703703703,0.12962962962962962,1,1
125040,2019-02-01,0.0,2.0,0.0,2.0,0.0,4.0,2.0,0,0,2,0,0,1,2,0,0,0,0,0,0,2,1,2,0,0,2019,2,1,4,10,547,6,3,0.6153846153846154,0.0,0.8355984993230934,0.6982248520710057,2,6,0,0,1,0.0,0.0,13.197445334487984,0,0,0,0,1,0,0,2,-2,0,1,1,-2,0,0,0,0,0,2,-1,1,-2,0,2,-2,1.4285714285714286,2.0,1.3997084244475302,1.9591836734693875,0.6666666666666666,0.4,0.6,1,1
126843,2019-05-01,68.0,97.0,40.0,107.0,40.0,110.0,61.0,0,0,2,15,13,14,44,40,40,49,21,33,38,40,48,54,34,38,2019,5,1,2,523,458,16,1,32.333333333333336,38.0,15.053976957011134,226.6222222222222,54,0,1,1,1,1.1752577319587627,0.07265774378585087,22.39424141749723,0,1,0,0,0,0,0,2,13,-2,1,30,-4,0,9,-28,12,5,2,8,6,-20,4,30,-28,74.71428571428571,68.0,27.845052321292382,775.3469387755102,2.0584795321637426,0.6730401529636711,0.32695984703632885,1,0
14483,2019-07-01,2.0,3.0,0.0,4.0,0.0,1.0,3.0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2019,7,1,0,13,397,13,1,0.9230769230769231,1.0,0.2664693550105965,0.07100591715976332,1,1,1,1,1,1.0833333333333333,0.07692307692307693,13.197445334487984,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,1,0,0,1,-1,1.8571428571428572,2.0,1.456862718169367,2.1224489795918364,2.25,0.6923076923076923,0.3076923076923077,1,0
158914,2019-08-01,0.0,1.0,0.0,5.0,4.0,4.0,2.0,0,0,0,0,0,2,8,1,4,1,0,0,0,0,0,0,0,0,2019,8,1,3,16,366,5,9,3.75,3.0,2.680951323690902,7.1875,8,0,0,0,0,0.0,0.0,13.197445334487984,0,0,0,0,1,0,0,0,0,0,2,6,-7,3,-3,-1,0,0,0,0,0,0,0,6,-7,2.2857142857142856,2.0,1.9059520091609048,3.6326530612244894,1.6666666666666667,0.625,0.375,1,1
123986,2019-10-01,200.0,143.0,132.0,196.0,12.0,167.0,84.0,0,0,0,0,0,0,0,1,2,2,2,11,16,93,230,217,156,204,2019,10,1,1,934,305,11,1,73.0,13.5,89.48407679581882,8007.4,230,0,1,1,1,2.7945205479452055,0.21841541755888652,13.197445334487984,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,9,5,77,137,-13,-61,48,137,-61,133.42857142857142,143.0,61.824306692102766,3822.244897959183,2.7211155378486054,0.7312633832976445,0.26873661670235544,1,0
233565,2020-01-01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2020,1,1,2,1,213,1,3,0.0,0.0,0.0,0.0,0,0,0,0,1,0.0,0.0,13.197445334487984,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,1,-1,0.14285714285714285,0.0,0.3499271061118826,0.12244897959183676,0.0,0.0,1.0,1,1
13706,2019-09-01,8.0,15.0,3.0,23.0,2.0,8.0,11.0,0,0,0,0,0,0,1,5,2,8,3,15,6,5,8,6,3,8,2019,9,1,6,70,335,12,1,5.636363636363637,5.0,3.6747968966195885,13.50413223140496,15,0,1,1,1,1.4193548387096773,0.11428571428571428,13.197445334487984,0,0,0,0,1,0,0,0,0,0,0,1,4,-3,6,-5,12,-9,-1,3,-2,-3,5,12,-9,10.0,8.0,6.718843437888484,45.142857142857146,2.6842105263157894,0.7285714285714285,0.2714285714285714,1,0
282455,2020-05-01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2020,5,1,4,1,92,1,4,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,22.39424141749723,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,1,-1,0.14285714285714285,0.0,0.3499271061118826,0.12244897959183676,0.0,1.0,0.0,0,1
10562,2020-01-01,33.0,26.0,13.0,29.0,0.0,42.0,3.0,0,0,0,0,0,0,0,0,0,0,0,4,6,2,102,20,2,10,2020,1,1,2,146,213,7,1,22.666666666666668,5.0,36.01234356285202,1296.888888888889,102,0,1,1,1,0.4411764705882353,0.0684931506849315,13.197445334487984,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,2,-4,100,-82,-18,8,100,-82,20.857142857142858,26.0,14.65243589138067,214.69387755102042,2.2444444444444445,0.6917808219178082,0.3082191780821918,1,0
119712,2019-04-01,14.0,11.0,7.0,20.0,8.0,16.0,11.0,0,1,1,4,2,2,3,9,9,9,6,15,18,1,2,2,2,1,2019,4,1,0,87,488,17,1,5.375,2.5,5.085211401701998,25.859375,18,0,1,1,1,0.18604651162790697,0.011494252873563218,13.197445334487984,0,0,0,0,1,0,1,0,3,-2,0,1,6,0,0,-3,9,3,-17,1,0,0,-1,9,-17,12.428571428571429,11.0,4.2378277069118075,17.95918367346939,2.2222222222222223,0.6896551724137931,0.3103448275862069,1,0
10120,2019-05-01,0.0,10.0,1.0,5.0,7.0,5.0,11.0,0,0,1,3,1,0,20,7,6,1,0,0,0,0,0,0,0,0,2019,5,1,2,39,458,7,9,5.428571428571429,3.0,6.433331570970116,41.38775510204082,20,1,0,0,0,0.0,0.0,22.39424141749723,0,1,0,0,0,0,0,1,2,-2,-1,20,-13,-1,-5,-1,0,0,0,0,0,0,0,20,-13,5.571428571428571,5.0,3.8491981672307087,14.816326530612246,1.4375,0.5897435897435898,0.41025641025641024,1,1
